,date,open,high,low,Close,volume,support,cert,buy,sell
30,2021-05-20 20:00:00+00:00,40116.04,40635.0,39638.27,39992.87,4115.183527,39847.464,0,0,0
31,2021-05-20 21:00:00+00:00,39992.88,40829.61,39698.43,40688.48,2713.915902,39847.207,0,0,0
32,2021-05-20 22:00:00+00:00,40686.18,41900.0,39383.52,41451.73,6423.191365,39776.95,0,0,0
33,2021-05-20 23:00:00+00:00,41452.56,41727.27,40247.48,40526.64,4815.429281,39666.58500000001,0,0,0
34,2021-05-21 00:00:00+00:00,40525.39,42200.0,40470.23,41725.59,6509.397921,39591.265999999996,0,0,0
35,2021-05-21 01:00:00+00:00,41725.59,41821.63,41248.12,41429.68,3435.134195,39626.887,0,0,0
36,2021-05-21 02:00:00+00:00,41427.61,41623.86,41039.38,41248.33,3209.984459,39919.825,0,0,0
37,2021-05-21 03:00:00+00:00,41247.42,41266.07,40408.84,40666.91,3734.225381,40088.709,0,0,0
38,2021-05-21 04:00:00+00:00,40662.0,40715.11,39672.01,39943.65,5317.76468,40133.909999999996,0,0,0
39,2021-05-21 05:00:00+00:00,39943.66,40296.68,39587.06,39846.48,3714.020245,40139.333999999995,0,0,0
40,2021-05-21 06:00:00+00:00,39846.48,40800.0,39222.0,40564.85,5987.785551,40097.706999999995,0,0,0
41,2021-05-21 07:00:00+00:00,40566.03,40650.0,39482.5,39842.57,4149.502118,40076.114,0,0,0
42,2021-05-21 08:00:00+00:00,39842.58,40363.27,39277.0,40024.22,6230.216204,40065.462,0,0,0
43,2021-05-21 09:00:00+00:00,40021.32,41194.18,40019.76,40876.67,5865.003849,40042.689999999995,0,0,0
44,2021-05-21 10:00:00+00:00,40876.68,41199.99,40575.64,40738.21,4982.973,40053.231,0,0,0
45,2021-05-21 11:00:00+00:00,40738.21,41230.67,40237.42,41124.29,4499.837691,39952.161,0,0,0
46,2021-05-21 12:00:00+00:00,41124.3,41577.0,40470.07,40508.0,5801.891791,39895.229999999996,0,0,0
47,2021-05-21 13:00:00+00:00,40508.01,41299.86,40269.0,41112.03,3608.924532,39881.246,0,0,0
48,2021-05-21 14:00:00+00:00,41112.03,41789.4,36600.0,37837.27,32595.276331,39574.045,0,0,0
49,2021-05-21 15:00:00+00:00,37835.04,38300.0,36444.44,36794.57,18927.498405,39259.783,0,0,0
50,2021-05-21 16:00:00+00:00,36803.28,37825.75,36100.0,37033.57,14854.153551,38947.583,0,0,0
51,2021-05-21 17:00:00+00:00,37031.7,37384.49,36619.34,37341.74,8400.56227,38661.267,0,0,0
52,2021-05-21 18:00:00+00:00,37341.8,37391.15,36346.8,37159.65,6770.644808,38368.247,0,0,0
53,2021-05-21 19:00:00+00:00,37159.65,37169.87,35501.01,36062.12,11153.109966,37916.372,0,0,0
54,2021-05-21 20:00:00+00:00,36062.13,36332.82,35150.0,35195.24,9165.465787,37373.808000000005,0,0,0
55,2021-05-21 21:00:00+00:00,35212.52,36691.0,33488.0,36588.77,18870.033763,36698.866,0,0,0
56,2021-05-21 22:00:00+00:00,36592.48,37337.41,36000.0,36663.99,8385.285503,36251.859000000004,0,0,0
57,2021-05-21 23:00:00+00:00,36664.0,37447.0,36300.0,37252.01,5932.196257,35854.959,0,0,0
58,2021-05-22 00:00:00+00:00,37263.35,37741.92,36877.0,37654.31,5150.910109,35882.659,0,0,0
59,2021-05-22 01:00:00+00:00,37652.42,37987.63,37200.0,37620.76,4908.65525,35958.215000000004,0,0,0
60,2021-05-22 02:00:00+00:00,37620.75,38100.0,37139.91,37382.96,5044.531754,36062.206,0,0,0
61,2021-05-22 03:00:00+00:00,37382.97,37716.14,36517.03,36951.85,8142.79395,36051.975,0,0,0
62,2021-05-22 04:00:00+00:00,36947.31,37219.45,35875.11,36304.18,7326.519005,36004.806,0,0,0
63,2021-05-22 05:00:00+00:00,36304.19,36713.09,35200.62,36376.25,7511.587748,35974.767,0,0,0
64,2021-05-22 06:00:00+00:00,36376.26,36510.23,35500.0,36412.47,5196.141282,36009.767,0,0,0
65,2021-05-22 07:00:00+00:00,36412.47,36496.13,35596.1,36269.28,5621.43452,36220.577000000005,0,0,0
66,2021-05-22 08:00:00+00:00,36266.36,37120.19,36258.96,36805.61,5836.598437,36246.473,0,0,0
67,2021-05-22 09:00:00+00:00,36805.61,37452.61,36490.97,37173.8,4695.674568,36265.57,0,0,0
68,2021-05-22 10:00:00+00:00,37174.99,38827.52,36835.0,38337.98,9274.763667,36261.37,0,0,0
69,2021-05-22 11:00:00+00:00,38337.98,38500.0,37555.0,38157.76,4802.465858,36296.87,0,0,0
70,2021-05-22 12:00:00+00:00,38157.75,38729.19,37725.74,38151.81,5202.741208,36355.453,0,0,0
71,2021-05-22 13:00:00+00:00,38151.8,38829.0,37965.36,38310.57,5022.742016,36500.286,0,0,0
72,2021-05-22 14:00:00+00:00,38310.57,38538.18,37383.59,37808.48,6099.168286,36651.134000000005,0,0,0
73,2021-05-22 15:00:00+00:00,37808.49,38721.75,37000.0,38162.4,6724.446517,36831.072,0,0,0
74,2021-05-22 16:00:00+00:00,38161.92,38491.52,37563.49,38147.74,5000.276738,37037.421,0,0,0
